date,d4_ln_y,d4_ln_cpi,d4_ln_cpi_sub,r
2002Q2,4.9118,8.832961,10.089075,-4.412961
2002Q3,5.87906,7.670335,9.056387,-3.180335
2002Q4,2.98792,6.226585,7.776311,-2.196585
2003Q1,4.50631,5.819058,6.497343,-3.629058
2003Q2,2.2459,5.347502,6.195694,-4.417502
2003Q3,2.21723,4.970691,6.031852,-3.52735767
2003Q4,1.3435,5.678024,5.84293,-3.84469067
2004Q1,1.69981,6.153704,5.871748,-4.27703733
2004Q2,2.62946,6.866372,5.89678,-4.77303867
2004Q3,2.85553,7.491253,6.24974,-5.08791967
2004Q4,4.48746,8.644319,7.043414,-6.25098567
2005Q1,3.42351,8.569313,7.509778,-5.93264633
2005Q2,4.71188,8.373281,7.522744,-5.51343251
2005Q3,2.35318,8.960082,7.434986,-5.62337643
2005Q4,1.55237,8.95243,7.449305,-5.05091485
2006Q1,5.03736,7.271003,6.939758,-3.021003
2006Q2,2.70859,7.278504,6.784552,-2.82698885
2006Q3,6.41768,6.367728,6.517449,-1.43915657
2006Q4,7.397,4.572686,5.7117,0.427314
2007Q1,6.37021,6.412808,5.657689,-1.40523224
2007Q2,6.90422,5.567633,5.703741,-0.13906157
2007Q3,5.69748,6.178425,6.13273,-0.67009167
2007Q4,4.54255,8.184983,6.921468,-2.16929036
2008Q1,3.23625,8.387905,7.715243,-1.87600024
2008Q2,5.49327,11.375798,8.885292,-4.625798
2008Q3,3.08528,12.688363,9.748961,-5.56155141
2008Q4,2.63556,10.479484,9.530375,-3.229484
2009Q1,0.18265,6.253163,7.590842,0.62410973
2009Q2,-1.06284,2.14741,5.640228,3.6556203
2009Q3,1.37361,-0.33487,3.983334,5.19916512
2009Q4,2.00526,-0.515503,3.085563,5.015503
2010Q1,3.23729,2.577278,3.337336,1.922722
2010Q2,2.9983,3.705484,3.78961,0.794516
2010Q3,1.74757,3.913767,3.924303,0.586233
2010Q4,3.14345,4.926989,4.154178,-0.426989
2011Q1,4.03838,4.848274,4.304863,-0.348274
2011Q2,4.3359,6.012037,4.772877,-1.262037
2011Q3,5.56378,7.049206,5.218356,-2.13253933
2011Q4,3.57419,6.109955,5.45816,-0.609955
2012Q1,3.76765,4.997787,5.108799,0.502213
2012Q2,2.65318,3.807468,4.758079,1.692532
2012Q3,2.37838,2.907844,4.710013,2.092156
2012Q4,3.59867,3.24929,4.752863,1.75071
2013Q1,2.88569,4.043517,4.918399,0.956483
2013Q2,4.31911,4.302759,4.794917,0.947241
2013Q3,3.65401,4.358541,4.296554,0.891459
2013Q4,2.86249,4.297027,3.871646,0.702973
2014Q1,4.09619,3.564863,3.329856,1.435137
2014Q2,4.21835,3.157086,3.105955,1.592914
2014Q3,4.13158,3.461193,3.035051,1.038807
2014Q4,4.92324,3.265972,2.92064,1.06736133
2015Q1,4.58885,2.367298,2.801142,1.46603533
2015Q2,3.05093,2.47383,2.735065,1.02617
2015Q3,4.76523,2.031996,2.789631,1.218004
2015Q4,3.63526,2.569031,2.825551,0.430969
2016Q1,1.66719,4.213423,2.829185,-1.213423
2016Q2,3.69298,4.202545,2.709519,-1.202545
2016Q3,1.98918,4.534839,2.581388,-1.534839
2016Q4,3.14956,4.453697,2.590393,-1.453697
2017Q1,4.64131,3.852725,2.674398,-0.852725
2017Q2,2.57499,4.045759,2.549515,-1.045759
2017Q3,3.03847,4.654812,2.390223,-1.654812
2017Q4,1.84334,4.741299,2.344357,-1.90796567
2018Q1,2.72978,4.243699,2.230463,-1.493699
2018Q2,4.36184,3.856968,2.346345,-1.106968
2018Q3,3.39148,3.444335,2.616228,-0.694335
2018Q4,2.90844,3.210827,2.536772,-0.460827
2019Q1,3.77095,4.157058,2.407974,-1.407058
2019Q2,3.90799,4.589644,2.425894,-1.839644
2019Q3,3.90629,3.011197,2.221028,-0.261197
2019Q4,4.2045,2.791398,2.190908,-0.041398
2020Q1,0.91283,1.583317,2.203173,1.166683
2020Q2,-9.63899,2.003234,1.998917,-0.003234
2020Q3,-1.52974,3.928697,2.008107,-2.178697
2020Q4,2.48279,5.078839,2.144998,-3.328839
2021Q1,4.50517,5.535878,2.436744,-3.785878
2021Q2,14.42329,4.649971,2.654439,-2.899971
2021Q3,7.71563,3.63363,2.809948,-1.88363
2021Q4,4.94134,2.926687,3.357559,-1.176687
2022Q1,4.51245,3.283542,4.266527,-1.533542
2022Q2,4.55073,5.817669,6.030314,-3.817669
2022Q3,3.7785,8.392427,7.743181,-5.72576033
2022Q4,3.65447,8.955681,8.575129,-5.455681
2023Q1,3.99419,9.021312,8.301957,-4.60464533
2023Q2,3.96289,6.376819,7.079921,-1.46015233
2023Q3,3.88957,4.463688,5.876729,0.536312
2023Q4,2.11255,4.38843,5.087542,0.61157
2024Q1,2.80124,3.389039,3.388181,1.610961
2024Q2,3.5319,3.515842,2.713195,1.484158
2024Q3,3.42892,2.941322,1.99724,1.97534467
2024Q4,4.50583,1.497348,1.375059,3.08598533
